Subject ID,Left Choice,Right Choice,Side Correct,Side Picked,Correct,Distance,Response Time,Date/Time,Consecutive Rounds
42,72,89,right,right,yes,17,2.93081608,2015-06-28T13:17:07.181,1
42,59,62,right,left,no,3,0.645168932,2015-06-28T13:17:08.820,2
42,86,45,left,left,yes,41,0.300851248,2015-06-28T13:17:10.122,3
42,83,58,left,left,yes,25,0.353421586,2015-06-28T13:17:11.477,4
42,7,88,right,right,yes,81,2.035342244,2015-06-28T13:17:14.514,5
42,24,98,right,right,yes,74,0.752012445,2015-06-28T13:17:16.268,6
42,91,22,left,left,yes,69,0.867861077,2015-06-28T13:17:18.136,7
42,95,65,left,right,no,30,0.464564532,2015-06-28T13:17:19.603,8
42,58,22,left,left,yes,36,0.895410545,2015-06-28T13:17:21.501,9
42,43,78,right,right,yes,35,0.630127332,2015-06-28T13:17:23.133,10
42,44,31,left,left,yes,13,0.645635909,2015-06-28T13:17:24.782,11
42,22,31,right,right,yes,9,0.411789785,2015-06-28T13:17:26.195,12
42,90,84,left,right,no,6,0.298169555,2015-06-28T13:17:27.494,13
42,71,38,left,right,no,33,0.360498074,2015-06-28T13:17:28.856,14
42,6,56,right,right,yes,50,0.273618656,2015-06-28T13:17:30.131,15
42,81,66,left,right,no,15,0.314198135,2015-06-28T13:17:31.447,16
42,94,66,left,right,no,28,0.358185002,2015-06-28T13:17:32.807,17
42,34,28,left,right,no,6,1.260013479,2015-06-28T13:17:35.068,18
42,29,87,right,right,yes,58,0.337836463,2015-06-28T13:17:36.408,19
42,98,32,left,left,yes,66,1.438278294,2015-06-28T13:17:38.848,20
42,73,82,right,right,yes,9,0.502927155,2015-06-28T13:17:40.353,21
42,15,13,left,left,yes,2,0.712851857,2015-06-28T13:17:42.069,22
42,67,19,left,left,yes,48,0.605722684,2015-06-28T13:17:43.675,23
42,18,70,right,right,yes,52,0.807282865,2015-06-28T13:17:45.485,24
42,33,68,right,right,yes,35,0.521408216,2015-06-28T13:17:47.008,25
42,30,16,left,left,yes,14,0.387295762,2015-06-28T13:17:48.398,26
42,47,59,right,right,yes,12,0.654975864,2015-06-28T13:17:50.055,27
42,70,79,right,right,yes,9,0.421530434,2015-06-28T13:17:51.477,28
42,10,94,right,right,yes,84,0.473735572,2015-06-28T13:17:52.953,29
42,85,15,left,left,yes,70,0.49199469,2015-06-28T13:17:54.447,30
42,51,65,right,right,yes,14,0.546219544,2015-06-28T13:17:55.995,31
42,45,71,right,right,yes,26,0.612454927,2015-06-28T13:17:57.610,32
42,95,75,left,left,yes,20,0.660330698,2015-06-28T13:17:59.272,33
42,62,23,left,left,yes,39,0.765165614,2015-06-28T13:18:01.040,34
42,24,3,left,left,yes,21,0.508813538,2015-06-28T13:18:02.550,35
42,32,54,right,right,yes,22,0.514462156,2015-06-28T13:18:04.067,36
42,85,34,left,left,yes,51,0.558682938,2015-06-28T13:18:05.627,37
42,21,63,right,right,yes,42,0.537306368,2015-06-28T13:18:07.165,38
42,18,40,right,left,no,22,0.621347577,2015-06-28T13:18:08.786,39
42,60,47,left,left,yes,13,0.498109002,2015-06-28T13:18:10.287,40
